cleaned_review,sentiment
very good,Positive
i love everything about your banking system .,Positive
good app,Positive
it's very cool,Positive
"fast and reliable tested and trusted to use for saving, investing, spending..it's very fast for transitions",Positive
excellent,Positive
awesome,Positive
very good app,Positive
good,Positive
best banking app,Positive
you guys keep logging me out i have to reset password everytime,Negative
so fast and easy i really love the way the app works i gave you 100 but want the app to keep working the way it's is never try to change the way the app is working i really love the app thanks for making transaction more easier it really helps i appreciate the effort that have been putting on in the app,Positive
has never disappointed,Positive
"kuda is worth using, because they value customer relationship, and they are very sincere in the way they deal with customers. 1. there's no unnecessary debits 2. they have tight security 3. and lastly, they give the best service",Positive
kuda bank is incredible app to bank with,Positive
wonderful,Positive
"i rate this app a1, don't know about anyone else",Positive
durable and reliable,Positive
extraordinary,Positive
this app is good,Positive
"good services, good customer support",Positive
very fast and reliable,Positive
top notch,Positive
amazing experience and a great banking app so good at their job and very respectful and swift with refunds lovely app thank you kuda,Positive
the app is excellents so fast and reliable kudos to kuda,Positive
good experience so far,Positive
fast nd reliable i love ur service tank u,Positive
good and simple app,Positive
i'm highly impressed with the kuda customer care .,Positive
every thing is so felixbile and easy,Positive
satisfactory,Positive
smooth transaction and secured app,Positive
it was good,Positive
poor network this days,Negative
very sharp,Positive
i love you kuda,Positive
i like kuda is great,Positive
kuda is good,Positive
nice app,Positive
your card doesn't work,Negative
very reliable,Positive
great app with full experience thank for providing adequate service to us,Positive
poor services,Negative
am trying to register but is showing me referral code what does that means,Neutral
very nice,Positive
it's refusing to update my nin,Negative
"been unable to login after the beta update. i left the beta program, uninstalled and reinstalled the stable version, and still no luck. the website is working though.",Negative
kuda is the best of all time fast in transaction,Positive
"when i want to log in it will just be rolling and not open ,it giving me problems, some time it will said ,they have issue for now i should try again often and often,.",Negative
it's a very good bank app but it has glitches sometimes,Positive
good app it work well,Positive
"nice app, and so helpful",Positive
"excellent online banking, keep it up",Positive
inspirational,Positive
it's very reliable,Positive
i love kuda,Positive
fast and reliable,Positive
am happy with this app,Positive
kuda is my number one trusted banking for everybody and every business owner if no be kuda he no fit be like kuda,Positive
"kuda is so sharp in transaction, airtime and others, am so interesting in it, so easy to open and easy to make any type of payment, try it",Positive
i love it,Positive
nice an smooth network,Positive
kuda is the best and i also like their service,Positive
easy and wonderful app to use,Positive
kuda is awesome,Positive
superb,Positive
this is the worst experience i've ever seen on your app. keeps loading like 15mins b4 one could eventually log in,Negative
guys try kuda app u will know that it the best fintech that fit ur lifestyle transactions in a second beneficiary credited within 5 seconds so guys go to ur google play or app store to download urs now and njoy transactions smoothly wat i really appreciate mosts is their overdraft show m any bank that u can spend beyond ur account balance up to 200k instantly,Positive
you're the best,Positive
you are the best but you guys don't give me overdraft,Neutral
kuda app is making me happy sincerely,Positive
i really really enjoy this app,Positive
lovely,Positive
good one,Positive
"why can't i verify my bvn to upgrade to stage 2, anytime i tried upgrade it say ""sorry, we couldn't confirm your bvn. please check that you entered the correct bvn and try again. wat an outstanding respond after correctly input the right bvn which is 11 in digit.",Negative
really great,Positive
perfect,Positive
enjoy using kuda microfinance bank,Positive
very cool,Positive
because it fast,Positive
feel so relaxed with kuda.,Positive
"seamless, so far.",Positive
this the most recent bank ever,Neutral
good bank for everyone to be used,Positive
customer service is top notch but fix your network issues.,Neutral
amazing,Positive
great,Positive
anytime i recharge data there usually reverse it back and that's not good if you are in need to recharge data there will keep reversing it you guys to stop that,Negative
kuda is a nice app. and you are making us happy.,Positive
"this is honestly the best digital banking app i've ever seen. i lost all access to my account about 6 years ago. but with their assistance, i could get it all back easily..... kuda to the world",Positive
complicated,Negative
so good and fast,Positive
kuda deserves more than 5 stars. keep the good work on.,Positive
"this is the best app i've used so far, so fast kuda, you're the best",Positive
nice app you are making me happy,Positive
the best online banking so far save and trust worthy thank you,Positive
please am finding difficult to login my app,Negative
best in the east,Positive
cool app,Positive
your virtual card is not useful anymore,Negative
cool and safe,Positive
good and fast on my doing my transactions,Positive
i don't really have any special bank than kuda because it's so special fast and reliable,Positive
love this bank,Positive
"why do you request that i update my app to use my card but you have no new update? you guys need to stop messing with people, if you are folding, you let us know to switch bank asap",Negative
fast and easy to use,Positive
kuda is the best.,Positive
it's a very unique and easy app to deal with i think people need to use the app more thank you,Positive
"very fast in sending and receiving money, great app",Positive
the best mobile app ever,Positive
it's been great,Positive
one of top 5 banking app in the world,Positive
nice. why will there be use of passkey and user can't switch to password anytime?,Neutral
kuda mfb is one of the rare banks that you will ever find online. their dealings are topnotch.,Positive
very good banking network is superb. kuda is the best,Positive
"good and flexible app for funds savings, transactions",Positive
"i love this app,very easy to navigate,fast transfers and very secured.",Positive
marvelous experience,Positive
been great.. kudos,Positive
you are doing well,Positive
is good,Positive
"i love the transfer procedure and the app looks less bulky, easy to navigate. i love it after my first transaction.",Positive
new,Neutral
"it's reliable, fast in transactions, user friendly, but can be difficult to access sometimes, especially when i do not log in for a while. it will be demanding authentication of account and all that, thereby redirecting anyhow.",Neutral
great job,Positive
nice,Positive
network issues on sending money,Negative
excellent performance,Positive
very fast and easy,Positive
this makes transactions easier without compromising the financial security,Positive
so fast no payment delay,Positive
kuda is reliable very easy,Positive
i love this online bank it is the best,Positive
it was great,Positive
kuda is the best,Positive
my favorite bank since 2017. excellent.,Positive
i'm brushing it's so nice,Positive
this is excellent and fast,Positive
remarkable,Positive
"so good and reliable they will help u to meet ur goal,i so much love dem,truth worthy ,smart ,fast",Positive
kuda you are the best,Positive
fantastic,Positive
god bless kuda for the security,Positive
best mobile banking app ever by a mile,Positive
"app is too slow specially the customer service agents, always never responding to customers on time... this is so poor",Negative
good application,Positive
great app. fast and efficient,Positive
i love kuda for their great and effective services,Positive
wow i'm so happy to have kuda bank account so far so good day are the boss,Positive
"superb app i like the opportunity of easy loan, it's a life saver",Positive
i love using kuda,Positive
superbly efficient app,Positive
"amazing app , rectify issues without delay",Positive
exceptional,Positive
it's a very nice banking app choose kuda today,Positive
very good banking,Positive
these people have locked my account with funds inside since last year because i funded my kuda account with my wema card and have refused to unlock the account. they commit fraud while making profits on your money. you better run...,Negative
"it is a very good banking app since when i started using it i have not been having problems with it,so i give it 5 stars",Positive
kuda is really amazing from my own experience,Positive
very nice now not like before,Positive
very good service,Positive
best app ever,Positive
sharp,Positive
am excited,Positive
am enjoying my personal account moneipoint,Positive
i love using monie point is very fast bank no network is holding so easy to do transaction i love who open this bank because is very gorgeous more than that,Positive
sweet transaction,Positive
was glad i really enjoy it because it was faster and very understanding beneficials to receive,Positive
good app bad network,Neutral
pls add loan,Neutral
"great experience so far, but could u make the face capture process a lot easier",Neutral
the best bank app ever,Positive
incredibly fast,Positive
moniepoint a very nice app,Positive
because is fast and reliable and,Positive
i appreciate yusing this app,Positive
very fast and good,Positive
good and great,Positive
you are doing good,Positive
money,Neutral
best,Positive
dear moniepoint i can upgrade my account and i can't login why please do something,Negative
um moniepiont is a fast and reliable account to create. the reason is because of the savings but the ten naira charge is what i don't like,Neutral
good to go,Positive
it is so covinient for people to send money,Positive
nice app for business,Positive
interesting,Positive
"this bank app is very bad that it just disappear from and someone mistakenly send 4,000 to my account and how can i get the money back",Negative
a very good app to transfer money,Positive
it was awesome and great moniepoint is the best,Positive
i need to send big money to my bank account,Positive
is very good but why cutting 10naira,Neutral
"i like this banking app, it's great. but could you guys please bring back the ""locked savings"" feature under the savings category? it really made sure i couldn't touch money i planned to save no matter what. for some reason, it's not available anymore. please bring it back. thank you",Neutral
good and fast,Positive
this app is absolutely good,Positive
why is it taking a long time to download,Negative
"the moniepoint banking app has helped me a lot, it's fast and reliable",Positive
"moniepoint is one of the best bank so far, l just withdrew my cashback and immediately l got creditef",Positive
best of all best moniepoit for live,Positive
it's feel good,Positive
difficult,Negative
nice one,Positive
durable,Positive
wata shida,Negative
i am enjoying the application except that it didn't provide a room for a soft loan or maybe i don't know how to apply for it,Neutral
hard to login to my account,Negative
i love monie point,Positive
"very sweet app, and it was fabulous",Positive
very interested to join moniepoint,Positive
i like the app because your transferred will go ao,Positive
they are awesome and reliable,Positive
great.,Positive
the apps lagss,Negative
it's a good bank for withdraw and deposit,Positive
easy and reliable,Positive
it is slow,Negative
l love it,Positive
very very good for banking,Positive
"why am i unable to update my app no matter what i do?? i've tried every i can think of, i followed all the steps said to update but nothing is working",Negative
love,Positive
"is not the best , people can't log out of it and it doesn't download fast i wish it is easy to download with out much data just improve your company",Negative
so amazing and awesome,Positive
very good and perfect,Positive
best app,Positive
i love moniepoint,Positive
the app is so easier in terms of transaction,Positive
i love monepy,Positive
glad to hear that,Positive
why will u guys debit me for sms charge? when i haven't even spent 20k monthly....you guys are not helping at all ..i mean what's that? it doesn't make sense... i'll give it a try once more ...if it repeats i'll delete the app and tell all my friends and family to stop using monie point,Negative
awesome so fast and easy,Positive
moniepoint is the best,Positive
it awesome,Positive
this app is so good than what i think,Positive
cool,Positive
your service is satisfying,Positive
reliable and efficient service,Positive
lovely appreciate,Positive
since my moniepoint personal app has outdated i have been trying to update but it's not working why,Neutral
it good,Positive
i'm enjoying using monipoit app,Positive
very convenient and easy to do with moniepoint banking services,Positive
reliable,Positive
"moniepoint is very reliable,, efficient and doesn't disappoint.",Positive
super gooooooooood,Positive
i am currently working with moniepoint and am comfortable,Positive
nice bank,Positive
the monie point app is a really good app easy to navigate and use......i'm really enjoying my experience...the only problem why i didn't complete the star is because of that pop up form about turning on location it distracts me alot and it's really annoying please do something about it.....asides from that the app is great,Positive
so nice,Positive
"hello moniepoint, i need help accessing my account on my new phone. my old iphone 13 pro max was stolen, and now when i try to log in, face verification captures correctly but the 'id confirmation' screen keeps saying 'something went wrong.' this has been happening for months despite using the right info. please help me fix this.""",Negative
"am really enjoy this app,",Positive
why i it's too hard to update?,Negative
excellent and massive,Positive
better than another,Positive
i love this app before but u too like update is too much nd ur charges is much that 10naria na money,Negative
awesomely,Positive
it's good in fast transaction,Positive
awesome experience,Positive
super good,Positive
"overall, it has a quick and wonderful service. with up to date facilities... however, the moniepoint team need to borrow a feature from palmpay and opay. it would be wonderful if you add a fixed deposit savings not the one already in the application but a version where we're not forced to make it a periodic savings sometimes, we prefer oneoff savings rather than forced continuous ones",Positive
so fast,Positive
very good and shape working,Positive
i love the app's interaction with its users.its very easy to make payments with,Positive
good enough,Positive
i went to see how it works,Positive
the application is user friendly and the security was excellent good network service i really recommend for any one it's a good one,Positive
monipont app is the best microfinance bank app i have ever used.,Positive
supper exciting to use just give monie point a try and see for yourself,Positive
garbage,Negative
it was so good,Positive
bad and i will employ everyone on you people not to use their apps anymore,Negative
"this app is literally very good to my taste,. it's very easy to operate,. smooth, free and reliable,.i would recommend it to business owners for seemless and fast transactions",Positive
moniepoint yayi,Positive
perfect allryt,Positive
good bank,Positive
it's help me alot,Positive
i was so glad that i'm used moniepont i really appreciate you people thanks alot and i will keep used moniepont more may god protect you all amen thank,Positive
"excellent app,hitch free network",Positive
i started to like this wallet,Positive
reliable and easy to use i recommend this app for people to use,Positive
very impressive and trusting app,Positive
impressive,Positive
it is reliable faster,Positive
"very good, keef it off",Positive
this app is 100 legit,Positive
so far so good,Positive
the transfer was excellent,Positive
it good it is simple and easy it is everybody's everything i just love it it the best app have ever seen,Positive
wonderful in terms of marketing,Positive
"the app is so amazing, i recommend it as an excellent reliable monetary transaction agent.",Positive
you too good somehow to me,Positive
hello pls u guys charge too much for sms fee,Negative
reliable and fast in connection,Positive
good and reliable,Positive
"wow great reward for withdrawals i never believed it was real till i ""withdrew my accumulated earnings"". thanks moniepoint",Positive
80 %steady network,Positive
great and fast,Positive
thee best,Positive
user friendly,Positive
so lovely,Positive
just love it,Positive
a nice app but at times network dey disturb,Neutral
it's so easy to make transactions,Positive
not that bad,Positive
good.,Positive
i like moniepoint because is good app save money and manything,Positive
super security app best ever,Positive
it's very easy in operations,Positive
excellent and accurate,Positive
are are need help and done,Neutral
horrible,Negative
"when you talk smooth banking, choose opay, no further explanation",Positive
opa is very nice application,Positive
i love opay,Positive
effective for all my current transactions,Positive
i like moany n ow,Positive
so good nd easy to access,Positive
though i haven't used it it's just my first time but i know it will be of great help to me and the rest user,Positive
best whishes opay,Positive
okay is a very reliable app it's good to go,Positive
trustworthy,Positive
opay is very good and very happy,Positive
i really appreciate it thanks,Positive
the bank app is very fascinating that it provides other saving services for financial stability and benefits.,Positive
shipping company,Neutral
thank you,Positive
really cool,Positive
best for online banking reliable,Positive
the best mobile banking app ever,Positive
negative to me in terms of loans,Negative
this is the best online bank,Positive
i like it,Positive
fast and reliable app.,Positive
opay is the best among the best.,Positive
it's my best and mainly used banking app as a nigerian,Positive
"best transaction app so far, really love the user interface and the absence of excessive charges that other apps take . would rate 10 if there were more ..",Positive
just soo,Neutral
i love this app,Positive
well done opay,Positive
tap on a clip to paste it in the text box.tap on a clip to paste it in the text box.,Neutral
opay make i enter heaven pass hell fire abeg so if he reach your turn make u turn d table upside down like ur father family problem ,Negative
amazing how many of this is beautiful,Positive
they are amazing and well update.,Positive
"please, is there a way we can increase the star to 10? because opay is the best banking app right now. fast, reliable, and convenient to work with. 10 stars please",Positive
their ussd service is total rubbish. they charge even for failed transactions as if it was your fault that the transaction failed. i didn't have much money and i almost had issues at the place where i went to buy something today because the charges for failed transactions took part of the money i was supposed to use for payment,Negative
really really really niceeee i can recommend it to family members very easy to use network perfect,Positive
free transfer,Positive
i like the app it's fast and reliable,Positive
perfectly good,Positive
more,Neutral
very nice app ever,Positive
"super fast banking experience... but... why can't i use opay to make payments on international apps like google pay, truecaller and many more?",Neutral
wonderful fast and reliable 100â© app,Positive
this app can not use free,Negative
very very good,Positive
best of all,Positive
it's very good and reliable,Positive
i really love this app,Positive
"l like the app, reliable and faster in transfer money.",Positive
since i started using opay app i love it very fast and reliable thank you so much opay,Positive
exceptionally brilliant,Positive
best online banking,Positive
the network service is very fast,Positive
i really appreciate,Positive
fatima binta abubakar borrow morning,Neutral
it fast,Positive
opay is the far best banking in the whole wide world every other banks are nonsense jare,Positive
"opay has been nothing but sweeeeeet, plenty love from here",Positive
a safe place for keeping your money,Positive
i like your services it fast,Positive
excellent app,Positive
"from what i have experienced so far, opay has been the most reliable app for all kinds of transactions. bravo to the opay team.",Positive
it's a really great app with really smooth service,Positive
"fantastic, nice one",Positive
great app,Positive
very good no problem at all,Positive
outstanding one window operations app,Positive
reliable app i love opay,Positive
been very good,Positive
hard network,Positive
good time,Positive
very excellent,Positive
opay is simply the best banking app in nigeria right now. it's a 1000100.,Positive
well ok,Positive
very nice app,Positive
the fastest way to make transfer,Positive
yes i really appreciate it,Positive
its been fun,Positive
facing issues with the facial verification,Negative
"the best, easier and fast app for money transfer",Positive
its has been awesome,Positive
talking about the best online banking platform in the whole of nigeria. keep it up.you're the best,Positive
the best transaction app,Positive
great app for money transactions. easy to use and navigate,Positive
keep me updated posted documents,Neutral
the app is too fast,Positive
"i have a wonderful experience using this app , so far the best app for now when it comes to online digital banking keep on the good work",Positive
very good as well as effective,Positive
"my app just stopped working, i can't access funds from my wallet. i uninstalled and reinstalled it but the same problem persist.",Negative
always at it's best,Positive
one of the best bank in nigeria,Positive
interested but i found it difficult give others data from my opay,Negative
opay sende 50000,Positive
okay,Positive
"my number one on line banking,,, the best among the best",Positive
"everything about, opay is sweet and smooth i love it.",Positive
buy and sell,Neutral
i recommend that every body should use opay because i've never come across any app like it it's super easy and fast to use,Positive
perfect thank others online banking app,Positive
very fast and reliable. love it,Positive
everything it keeps doing best best best,Positive
it is fast in transfer and in data,Positive
best quality and version in the world,Positive
opay is awesome,Positive
is a good app,Positive
opay is the best wallet payment app in nigeria,Positive
opay is one of the i like it so much it's very easy to transfer money quickly...,Positive
cool networking,Positive
"wow wonderful account if you have opay account no need others bank, with opay you can easily do your business without delaying or decline you can send money or withdraw, bro you and you open opay bank and we continue our business, see you bro",Positive
opay is the best bank app ever created on earth. it's simple to use and reliable. it's fast in transaction.,Positive
the best ever,Positive
great banking solutions for daily transactions just too good,Positive
this app is nice to use but they are too quick for update. it should be twice a year,Positive
"i've been using this application for ages and i love it , it's more securable and safety",Positive
you are great,Positive
so amazing,Positive
opay is the best bank app in the world it lends money to student and have patience with their customers this app is fast and it gives interest to your savings thanks keep it up,Positive
"good , easy transaction",Positive
one of the best for instant transfers . no delays at all.,Positive
nice to make a deal with,Positive
good and nice wallet,Positive
i love this app so much.,Positive
the best online bank ever,Positive
simply the best,Positive
more inprovement in security efficient. accurate affordability,Positive
real good,Positive
good experience sha,Positive
yeah,Positive
male,Neutral
anyhow jare,Negative
wow,Positive
the app is very nice and work,Positive
palmpay network is super,Positive
it is the best banking app ever,Positive
very rude people,Negative
i like this wallet,Positive
so bad,Negative
trustworthy and reliable. i recommend it to everyone,Positive
pitiful and definitely not trustworthy,Negative
it's great,Positive
good app to transfer money more banking,Positive
incredible,Positive
you gat me in all transactions,Positive
the firs fee or whatever should be deducted from the main account balance not from the transfer amount please that's annoying,Negative
you are too good are relaible,Positive
it's soo savinglicious and doesn't stress me at all,Positive
very easy and fast transfer than the other bank,Positive
it's good and reliable,Positive
better,Positive
"an amazing app, i didn't like online ap at first but this is different with limited charges, tested and trusted",Positive
they keep calling immediately your loan is due and start insulting and threatening you which is very bad,Negative
it's ok with fair interest..,Positive
"totally fast and reliable , chose palm pay today to enjoy daily transfers.",Positive
fast and relayable,Positive
no need to write a review palm pay it a scam app the took my money when am not owing them anymoney,Negative
heart less people god will not bless you,Negative
i need a loan please,Neutral
first and realiable,Positive
"palmpay is bad beware of 419, they remove my money please be warn",Negative
palmpay is really smart way to banking,Positive
palmpay is the best app ever,Positive
the ussd system is lagging very much and even though it doesn't work you still get debited for nothing,Negative
palm pay faster than opay 100,Positive
i love this bank,Positive
i am very happy to have palmpay as my own personal account i'm very interested,Positive
i see good reviews here but in my own case i don't know y it's different palmpay are bunch of bastards i should have followed my instincts and not register you don't deserve a star from me just did it so my message can go through and my voice heard even ur customer service is scam i keep getting ignored and i know it's all an intentional act,Negative
am bagging you people please don't use palmpay again i just put 10000 on my palmpay and want i go back again tomorrow did you people no what happened i can find my money completely again the remove 4k in my money i don't no how my money disappear am not lying i swear please don't use palmpay again before you go cry,Negative
"easy transfer,fast and reliable",Positive
tasted trusted,Positive
is good to have it,Positive
"palmpay is the worst bank ever, the interest on loan is too much,how do you expect your customers to pay back the loan when the interest is already more than the loan",Negative
sweet,Positive
is a nice app,Positive
your interest is low and i doubt if the system is well protected from fraud,Negative
you are doing well. keep it up,Positive
best mobile banking app,Positive
really i'm very happy to using this application,Positive
"i truly dislike your services,i sent an email to you guys since yesterday and still hasn't got any reply abi is it till something spoil you people will reply? very slow service",Negative
why is my facial verification not working?,Negative
i don't think i can stop using this app. i'm enjoying it's features and all the good stuffs it provides. keep it up palmpay team,Positive
really i miss back with investment banking palm pay because nothing like multiple accounting software platform,Negative
very fast,Positive
palmpay get level ajeh,Positive
not bed,Positive
nice vibes,Positive
this is lovely,Positive
fastest and reliable,Positive
this is one of the best micro finance bank i have ever use,Positive
i love this,Positive
past and speedy,Positive
update to 2026 version,Neutral
fast transfer and bill payment,Positive
best ever,Positive
it's good,Positive
first i cancelled the nem health insurance policy and still automatically charging me. secondly i reported transfer dispute coz of wrong account number still now no response from you,Negative
i just like this app,Positive
fastest transaction,Positive
thanks for your,Positive
you guys are the worst,Negative
they're good,Positive
palmpay is very good,Positive
why no loan,Negative
incredible palmpay,Positive
penalty for late loan payment is too much. it is unfair,Negative
annoying,Negative
so good,Positive
why are you deduting money from my account,Negative
"your ads or advertisement are very offensive,it interrupts everything one is trying to do online that's very important. please reduce or stop the excess advert or repetition of your advertisement. thanks",Negative
it's a lovable app.. easy to use but am having an issues of opening my palpay app i kept repeating it everytime even i can't make any transaction it delayed my business why giving me tough times unlike before,Negative
this is a good app. transactions are seamless,Positive
loan interest rate is high.,Positive
"how i wish i fit rate una 0 star very useless app... i off auto renewal for my health insurance nonsense,,and una still remove my money from my account. and na my last money",Negative
trust palmpay,Positive
"all was going well with this app until temu issued me some refund for some defective purchases. palm pay refused to credit me the refund, even though temu has processed and completed the refund. as soon as my locked savings in palm pay matures in a month time. i will deactivate my account. even with sufficient proof, palmpay will resist giving you your refund.",Negative
you're an amazing bank when it comes for transfer kudos to you,Positive
"what a great app, kudos to you.",Positive
perfect online banking to use,Positive
it nice download palm pay,Positive
very good experience,Positive
i noticed you people always deduct 1000 daily on my palmpay account even today the same thing you keep deduct 1000 from my account a. be subscribing data to line why is it like that i don't like it pls work on my account asap now now,Negative
it is very good,Positive
stupid app,Negative
very good bank,Positive
"palmpay is a fast reliable bank i love this app , it makes my business work faster , thank you building up this app , i really enjoy this app so much",Positive
palmpay is the best online banking,Positive
to improve on customer's service,Positive
this palm pay it's helpful to carry out good activities like transaction,Positive
good for transaction,Positive
excellent i am certified,Positive
i don't like the app cause i have some money in it but i ã§ant remove it,Negative
palmpay is sooo good,Positive
palmpay is a good app eyaeya o,Positive
a nice app,Positive
"great app but i bought a fund on palmpay but i can't sell and i want to sell, what do i do",Negative
they're all fake,Negative
best in fast reliable transaction top notch in rewards,Positive
this app is good for all,Positive
very good i love the,Positive
this is the most unprofessional online banking app i've used in my entire life and i hope y'all get cancelled,Negative
but i can't get loan,Negative
very fast and convenient,Positive
you guys allow the loan agent to harass customers anyhow.,Negative
"no regrets, love the app",Positive
you force medical bill payments on me i've tried to remove it but you won't let me i have stopped using the app,Negative
thank god to this palmpay,Positive
not a good app they'll debit you for insurance policy i turned it off multiple times but ill will still automatically turn thats stealing by trick,Negative
nice work,Positive
palmpay is a very good banking app. it's my own saving grace when i need funds and their repayment plan is flexible and easy. kudos to you,Positive
fast and reliable in transaction,Positive
it easy to use,Positive
"what is all the, digital healthcare keep collecting 500 naira from my account every month u guys are scammers stupid people",Negative
upgrading to tier 3 is a problem for me,Negative
"easy, excellent and transparent",Positive
i love palmpay,Positive
the app is worth referring to a friend,Positive
let me try it first,Neutral
"am really appreciate it, but i have some issues i have been invited some people on this app all day am trying my best to invite people come to palmpay but my money is pending getting to two months please and please drop me the money if not am not going invite any body am going to stop using this app again. thank you palmpay for your contributions to the nation.",Negative
excellent in service and network speed too i love the fact u guys don't unnecessarily debit customers unlike other apps,Positive
"palmay am so disappointed in you,as a new user of palmay i will put money in my account in the next two days the money will start reducing per day and am not the first person to notice this it happens to so of my people also and they decided to stop using the app. what concerned me about insurance wether am secure or not it doesn't concern you . i'm very very very disappointed",Negative
"this work very perfect and faster and more , i can get my financial so easy and simple trade solutions .",Positive
let me try it if it works you are the best,Positive
soo good,Positive
love it,Positive
